,key,sum(summ),sum(count),total
0,Chromatography Solid Phases,5.0,1,5.0
1,Hoist Rings,20.0,4,5.0
2,Arborio,10.0,2,5.0
3,Set Screw Couplings,20.0,4,5.0
4,Fixturing Clamps,15.0,3,5.0
5,Caliper Guards,5.0,1,5.0
6,Unfinished Hi-Fi Cabinets,5.0,1,5.0
7,Plotters,5.0,1,5.0
8,Mossy Oak Spinners,5.0,1,5.0
9,Sleep Positioners,10.0,2,5.0
10,Dewar Flasks,10.0,2,5.0
11,Long Block Kits,20.0,4,5.0
12,Inflatable Bed Kits,5.0,1,5.0
13,Polyvinyl Acetate Adhesives,20.0,4,5.0
14,Laminate,5.0,1,5.0
15,Pacific Northwest & Alaska,10.0,2,5.0
16,Pita,20.0,4,5.0
17,Burner Rings,30.0,6,5.0
18,Business School Guides,5.0,1,5.0
19,Char-Broil,5.0,1,5.0
20,iPad,5.0,1,5.0
21,Dallas Mavericks,5.0,1,5.0
22,Chromatography HPLC Columns,5.0,1,5.0
23,Crank Trigger Kits,5.0,1,5.0
24,Goalie Equipment,15.0,3,5.0
25,Guyana,5.0,1,5.0
26,Window Gaskets,5.0,1,5.0
27,Sophia Visconti,5.0,1,5.0
28,Globe Valves,5.0,1,5.0
29,Eritrea,5.0,1,5.0
30,Roberto Guerrini,10.0,2,5.0
31,Anthropology & Folklore,5.0,1,5.0
32,CPVC,5.0,1,5.0
33,Polyester,15.0,3,5.0
34,Stacks,5.0,1,5.0
35,Dallas,5.0,1,5.0
36,Experience Tickets,5.0,1,5.0
37,Butt Hinges,5.0,1,5.0
38,Ice Tools,95.0,19,5.0
39,Cleanroom Gloves,5.0,1,5.0
40,Welding Hammers,15.0,3,5.0
41,Manifold Parts,15.0,3,5.0
42,Chili Sauce,5.0,1,5.0
43,Beaker Cleaning Brushes,5.0,1,5.0
44,Assembly Bolts,20.0,4,5.0
45,Discharge Fittings,5.0,1,5.0
46,Comic Art,10.0,2,5.0
47,Sauces Gifts,35.0,7,5.0
48,Manifold Tube Fittings,10.0,2,5.0
49,Blazers & Suit Jackets,5.0,1,5.0
50,Timpanis,15.0,3,5.0
51,Threaded Bumpers,20.0,4,5.0
52,Anesthesia,10.0,2,5.0
53,Rigatoni,10.0,2,5.0
54,Arkansas,5.0,1,5.0
55,Paprika,10.0,2,5.0
56,Wrapper & Band Sorter Racks,10.0,2,5.0
57,Expanded & Perforated Sheets,5.0,1,5.0
58,Minneapolis & St. Paul,5.0,1,5.0
59,Synchro Hub Thrusts,5.0,1,5.0
60,Check Engine Indicator Lights,10.0,2,5.0
61,Cellware Chambers,5.0,1,5.0
62,Dual Shock Kits,30.0,6,5.0
63,Air Temperature Overrides,50.0,10,5.0
64,Lab Ladles,5.0,1,5.0
65,Choker Chains,5.0,1,5.0
66,Nest Children,5.0,1,5.0
67,Tin,10.0,2,5.0
68,Maracas,10.0,2,5.0
69,Power Take-Offs (PTO's),5.0,1,5.0
70,Eraser Refills,5.0,1,5.0
71,Infrared Emitters,10.0,2,5.0
72,Moni Moni,30.0,6,5.0
73,Robohelp,15.0,3,5.0
74,Boat Building,5.0,1,5.0
75,AIR Control,15.0,3,5.0
76,Manifold Fittings,20.0,4,5.0
77,New England Patriots,5.0,1,5.0
78,Current Monitoring Relays,5.0,1,5.0
79,Control Knobs,55.0,11,5.0
